iter	Passed	Remaining
0	195	194825
1	210	104948
2	226	75110
3	241	60015
4	256	51073
5	277	45907
6	300	42682
7	320	39782
8	338	37314
9	368	36485
10	430	38745
11	462	38071
12	491	37345
13	520	36639
14	540	35467
15	560	34480
16	581	33651
17	605	33013
18	627	32415
19	650	31866
20	674	31455
21	703	31257
22	727	30916
23	750	30522
24	773	30170
25	795	29786
26	820	29558
27	846	29383
28	869	29110
29	898	29051
30	925	28927
31	945	28605
32	963	28242
33	984	27984
34	1001	27602
35	1024	27426
36	1046	27232
37	1070	27096
38	1096	27008
39	1128	27074
40	1149	26895
41	1179	26900
42	1204	26811
43	1228	26692
44	1255	26652
45	1286	26679
46	1323	26842
47	1355	26883
48	1394	27064
49	1423	27039
50	1455	27075
51	1487	27115
52	1514	27052
53	1542	27027
54	1570	26981
55	1594	26877
56	1614	26708
57	1642	26670
58	1671	26653
59	1702	26671
60	1731	26651
61	1768	26761
62	1797	26733
63	1819	26606
64	1855	26697
65	1883	26650
66	1910	26607
67	1943	26633
68	1972	26608
69	1999	26569
70	2020	26436
71	2039	26291
72	2067	26252
73	2094	26207
74	2121	26165
75	2149	26137
76	2168	25991
77	2194	25940
78	2213	25806
79	2237	25730
80	2260	25642
81	2276	25485
82	2293	25337
83	2312	25216
84	2332	25112
85	2354	25025
86	2374	24913
87	2395	24827
88	2415	24723
89	2435	24629
90	2456	24542
91	2479	24475
92	2498	24367
93	2520	24298
94	2538	24183
95	2558	24091
96	2579	24016
97	2596	23899
98	2615	23801
99	2636	23724
100	2652	23612
101	2678	23577
102	2697	23488
103	2716	23400
104	2732	23292
105	2753	23225
106	2772	23140
107	2789	23036
108	2813	23000
109	2837	22960
110	2854	22865
111	2873	22784
112	2889	22683
113	2910	22620
114	2928	22533
115	2946	22451
116	2961	22348
117	2979	22270
118	2996	22187
119	3014	22105
120	3031	22022
121	3047	21931
122	3065	21854
123	3080	21760
124	3096	21673
125	3112	21593
126	3132	21535
127	3149	21454
128	3165	21372
129	3182	21295
130	3199	21227
131	3219	21167
132	3239	21117
133	3255	21036
134	3271	20962
135	3290	20904
136	3305	20825
137	3323	20759
138	3341	20699
139	3360	20640
140	3378	20581
141	3396	20521
142	3412	20453
143	3427	20377
144	3445	20314
145	3463	20256
146	3478	20187
147	3495	20119
148	3513	20064
149	3528	19996
150	3546	19938
151	3563	19881
152	3581	19825
153	3597	19763
154	3613	19700
155	3631	19645
156	3652	19609
157	3669	19557
158	3685	19491
159	3702	19435
160	3719	19381
161	3734	19319
162	3752	19267
163	3771	19226
164	3786	19163
165	3802	19103
166	3820	19056
167	3837	19006
168	3852	18944
169	3877	18928
170	3891	18867
171	3907	18809
172	3921	18748
173	3935	18683
174	3951	18628
175	3968	18579
176	3983	18523
177	3997	18460
178	4012	18405
179	4027	18345
180	4043	18294
181	4062	18258
182	4087	18250
183	4106	18212
184	4127	18185
185	4145	18143
186	4159	18082
187	4171	18017
188	4185	17959
189	4199	17903
190	4213	17845
191	4226	17785
192	4238	17721
193	4251	17661
194	4263	17599
195	4277	17546
196	4290	17488
197	4304	17435
198	4317	17379
199	4330	17322
200	4345	17274
201	4358	17217
202	4372	17166
203	4384	17109
204	4398	17056
205	4411	17004
206	4424	16949
207	4437	16897
208	4451	16849
209	4465	16800
210	4478	16745
211	4490	16692
212	4504	16643
213	4517	16592
214	4529	16539
215	4542	16485
216	4554	16432
217	4566	16381
218	4579	16331
219	4592	16280
220	4607	16242
221	4621	16196
222	4634	16146
223	4647	16098
224	4661	16055
225	4673	16006
226	4687	15962
227	4701	15919
228	4714	15873
229	4727	15826
230	4740	15781
231	4752	15733
232	4765	15687
233	4777	15640
234	4789	15592
235	4802	15547
236	4815	15504
237	4828	15460
238	4843	15422
239	4856	15378
240	4868	15332
241	4880	15288
242	4896	15253
243	4912	15221
244	4928	15188
245	4944	15154
246	4960	15122
247	4980	15103
248	5005	15096
249	5032	15097
250	5047	15061
251	5059	15018
252	5071	14974
253	5082	14927
254	5094	14882
255	5104	14835
256	5115	14789
257	5127	14746
258	5138	14701
259	5149	14655
260	5159	14609
261	5171	14566
262	5182	14524
263	5193	14479
264	5204	14435
265	5215	14391
266	5226	14347
267	5237	14305
268	5248	14262
269	5260	14222
270	5272	14181
271	5282	14138
272	5293	14095
273	5304	14053
274	5314	14011
275	5325	13969
276	5336	13927
277	5347	13888
278	5358	13846
279	5371	13811
280	5381	13770
281	5392	13729
282	5403	13689
283	5413	13648
284	5425	13610
285	5437	13573
286	5448	13535
287	5460	13498
288	5472	13462
289	5483	13425
290	5496	13391
291	5508	13355
292	5519	13318
293	5531	13282
294	5543	13247
295	5553	13208
296	5564	13171
297	5575	13133
298	5585	13093
299	5596	13058
300	5606	13020
301	5616	12982
302	5627	12944
303	5638	12908
304	5648	12871
305	5660	12837
306	5670	12801
307	5681	12764
308	5692	12730
309	5703	12694
310	5713	12657
311	5724	12624
312	5735	12589
313	5745	12552
314	5756	12517
315	5770	12490
316	5784	12463
317	5799	12438
318	5814	12412
319	5832	12393
320	5848	12370
321	5863	12346
322	5879	12323
323	5895	12299
324	5909	12272
325	5925	12250
326	5941	12228
327	5956	12203
328	5970	12177
329	5985	12152
330	6004	12136
331	6016	12106
332	6029	12076
333	6040	12044
334	6050	12011
335	6061	11979
336	6073	11948
337	6084	11917
338	6095	11885
339	6105	11852
340	6116	11820
341	6127	11789
342	6137	11756
343	6149	11726
344	6159	11694
345	6170	11662
346	6180	11630
347	6192	11602
348	6203	11571
349	6214	11541
350	6225	11510
351	6236	11480
352	6246	11448
353	6257	11418
354	6267	11387
355	6278	11357
356	6289	11327
357	6300	11297
358	6310	11267
359	6322	11239
360	6332	11209
361	6343	11179
362	6354	11150
363	6365	11122
364	6376	11093
365	6387	11064
366	6398	11035
367	6409	11007
368	6421	10980
369	6431	10951
370	6442	10922
371	6453	10894
372	6465	10868
373	6476	10839
374	6486	10811
375	6497	10782
376	6508	10755
377	6518	10726
378	6530	10699
379	6540	10672
380	6551	10644
381	6562	10616
382	6572	10588
383	6583	10560
384	6594	10534
385	6607	10510
386	6620	10486
387	6631	10459
388	6641	10431
389	6653	10406
390	6664	10380
391	6675	10353
392	6685	10326
393	6697	10301
394	6708	10275
395	6719	10248
396	6730	10222
397	6741	10196
398	6751	10169
399	6762	10144
400	6773	10118
401	6784	10091
402	6795	10066
